alpha,beta,N,n,h,c,mean_n,std_n,alpha_hat,beta_hat,u_star,u_star_hat,z,u,optimal_cost,actual_cost,intervals_str
4,6,5,5,0.13333333333333333,25,19.214556907952534,8.736612195826527,5,3.9724253349123018,79.50987743759983,66.56318168465629,1.194502357388483,120.63658902149172,5.483561544518919,7.2097876449113905,28.173785338102938_28.359584955468065_17.335397098373445_12.870643082969663_9.333374064848568_20.761472232207197_44.54019409887413_15.371836182150208_28.95762297393832_11.005463534321883
3,4,5,5,0.6666666666666666,25,12.992619044466712,5.967654310603978,5,2.741009941797457,46.71946149543203,55.88911439667533,0.835931325800561,86.87629236928409,26.771220582568038,20.658118648405836,20.390684440092205_7.781923056848202_12.083409580807087_6.925585528844513_17.781492615741552_10.289640436988408_10.187058199149085_11.562696104486633_30.90066240305916_23.9362352256008
3,4,4,5,0.06666666666666667,20,12.609501545257928,7.525812060067458,3,4.491680100135018,21.694679586006202,24.8712324211852,0.8722800389870015,94.67909087729663,4.865627419419361,4.653857230407429,15.40608457326099_6.8971592235863355_15.448465219636134_3.212937942863773_22.082860766942407_24.03140576100677_20.652205100740392_31.34136789557804_18.654112119971423
4,6,6,5,0.06666666666666667,30,19.17578678537111,6.062907354595645,10,1.916940671162066,89.82900959654523,83.23963787162252,1.079161465539834,141.87347378038794,3.469630945589514,3.9089223939176945,21.114228846495497_21.204394544100456_22.992197774853697_8.417235741839352_22.15087701956655_28.042477892970417_13.522277995988171_30.17980626413968_23.583257712757927_36.49417305106746_10.051480863464295
3,1,6,5,0.06666666666666667,10,3.557651613430951,2.5318197726532006,2,1.8017816407312242,9.155040500277629,9.594768427832918,0.9541700322563589,19.701267848108433,0.7030818231887203,0.6737666280183676,3.2132121131017914_3.800249506909465_0.9399760404719097_7.648054897046159_2.1867655096254293_2.815747103463551_2.5203310094009304_5.076164669588381_1.18224331967324_1.6557499020598816_6.451031843922451
2,6,7,5,0.06666666666666667,25,12.038815512298763,8.995655439016913,2,6.721742408532257,42.75199794872445,48.821238534187856,0.8756844199842796,47.79439310717312,0.33615967722991136,25.0,4.4950916392512354_8.216468253477833_25.14633222564671_17.446860431983264_4.88932501113477_9.3916180752252_12.642885242535502_2.7071160589698686_3.6942443508260787_11.147840652107684_3.4268175883453456_4.783871139163447
4,2,4,5,0.06666666666666667,25,8.133183851042956,4.23180962636607,4,2.201869900126269,14.87636181621179,16.58766271180007,0.8968329097763181,49.01365452512476,2.275819513927531,2.161732787554979,8.172517752508064_8.625443363211213_3.901944135495846_14.812184124555923_5.153829879443732_19.457912309237948_14.930199119270712_5.812271270057333_8.81327182655877
2,6,7,5,0.06666666666666667,25,10.069335197539063,6.0231130999307965,3,3.6028089941254766,42.75199794872445,43.130703386217924,0.9912195858689732,78.6000840791779,2.3898724086968968,2.3646253795306653,5.931779266944394_12.966019231588099_18.36603310433179_2.9446262789461666_10.138218105884862_7.344138981227086_10.822561747676376_13.976805987063267_20.82301232329867_15.146562032885505_5.030277150054786_5.456725856972216
4,4,4,5,0.13333333333333333,10,12.297003862680327,5.84988923302427,4,2.782889590082167,43.1007315784878,27.914953744095705,1.5440015403071927,75.46785725256323,4.315616756543391,6.340387134462337,14.859765503236378_17.18270119206534_8.690836534557247_16.93562119317906_3.816094890363611_12.840917910489598_23.686190561596575_17.477104497926746_21.46364428255032
4,2,6,5,0.6666666666666666,10,4.510441985764741,2.189288931567016,4,1.062642206907623,44.56159301723086,20.479649995279807,2.175896220272393,44.01552852458602,10.0,15.69058568620414,5.573276957714421_4.759306769701019_1.4618508497009626_7.273364978052045_3.484410373655256_6.664358048494112_4.112681504259103_4.781265663117342_13.80589911715939_6.6013431862987_8.04998100525737
